"STATISTIÈNA REGIJA";"TIP LASTNIŠTVA";"VRSTA STAVBE";"LETO";"Število prebivalcev"
"Koroška";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";8664
"Koroška";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";7425
"Koroška";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";6534
"Koroška";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";349
"Koroška";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";362
"Koroška";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";318
"Koroška";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";151
"Koroška";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";136
"Koroška";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";124
"Koroška";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";8164
"Koroška";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";6927
"Koroška";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";6092
"Koroška";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";477
"Koroška";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";444
"Koroška";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";421
"Koroška";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2011";4287
"Koroška";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2015";3577
"Koroška";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2018";4168
"Koroška";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2011";4057
"Koroška";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2015";3360
"Koroška";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2018";4001
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";1584
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";1409
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";1489
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";422
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";280
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";384
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";2051
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";1671
"Koroška";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";2128
"Koroška";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2011";230
"Koroška";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2015";217
"Koroška";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2018";167
"Savinjska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";253442
"Savinjska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";246702
"Savinjska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";246058
"Savinjska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";248019
"Savinjska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";242052
"Savinjska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";241407
"Savinjska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";169803
"Savinjska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";168930
"Savinjska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";169122
"Savinjska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";10966
"Savinjska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";8284
"Savinjska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";8102
"Savinjska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";67250
"Savinjska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";64838
"Savinjska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";64183
"Savinjska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2011";5423
"Savinjska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2015";4650
"Savinjska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2018";4651
"Savinjska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2011";210659
"Savinjska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2015";210544
"Savinjska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2018";208723
"Savinjska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";207375
"Savinjska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";207814
"Savinjska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";206035
"Savinjska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";159036
"Savinjska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";159900
"Savinjska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";159960
"Savinjska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";8340
"Savinjska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";6643
"Savinjska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";6442
"Savinjska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";39999
"Savinjska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";41271
"Savinjska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";39633
"Savinjska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";3284
"Savinjska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";2730
"Savinjska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";2688
"Savinjska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2011";23668
"Savinjska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2015";20470
"Savinjska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2018";19126
"Savinjska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";22241
"Savinjska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";19057
"Savinjska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";17910
"Savinjska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";1840
"Savinjska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";1610
"Savinjska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";1466
"Savinjska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";406
"Savinjska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";361
"Savinjska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";268
"Savinjska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";19995
"Savinjska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";17086
"Savinjska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";16176
"Savinjska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";1427
"Savinjska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";1413
"Savinjska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";1216
"Savinjska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2011";19115
"Savinjska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2015";15688
"Savinjska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2018";18209
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2011";18403
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2015";15181
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2018";17462
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";8927
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";7420
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";7696
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";2220
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";1280
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";1392
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";7256
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";6481
"Savinjska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";8374
"Savinjska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2011";712
"Savinjska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2015";507
"Savinjska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2018";747
"Zasavska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";43422
"Zasavska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";56923
"Zasavska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";56075
"Zasavska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";42848
"Zasavska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";56164
"Zasavska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";55293
"Zasavska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";19262
"Zasavska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";29613
"Zasavska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";29615
"Zasavska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";2606
"Zasavska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";3070
"Zasavska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";3011
"Zasavska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";20980
"Zasavska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";23481
"Zasavska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";22667
"Zasavska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2011";574
"Zasavska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2015";759
"Zasavska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2018";782
"Zasavska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2011";31111
"Zasavska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2015";44381
"Zasavska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2018";43857
"Zasavska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";30868
"Zasavska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";43995
"Zasavska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";43416
"Zasavska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";18311
"Zasavska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";28334
"Zasavska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";28185
"Zasavska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";1958
"Zasavska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";2468
"Zasavska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";2450
"Zasavska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";10599
"Zasavska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";13193
"Zasavska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";12781
"Zasavska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";243
"Zasavska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";386
"Zasavska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";441
"Zasavska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2011";9550
"Zasavska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2015";9424
"Zasavska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2018";8704
"Zasavska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";9271
"Zasavska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";9105
"Zasavska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";8417
"Zasavska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";224
"Zasavska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";243
"Zasavska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";255
"Zasavska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";201
"Zasavska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";209
"Zasavska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";190
"Zasavska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";8846
"Zasavska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";8653
"Zasavska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";7972
"Zasavska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";279
"Zasavska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";319
"Zasavska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";287
"Zasavska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2011";2761
"Zasavska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2015";3118
"Zasavska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2018";3514
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2011";2709
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2015";3064
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2018";3460
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";727
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";1036
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";1175
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";447
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";393
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";371
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";1535
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";1635
"Zasavska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";1914
"Zasavska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2011";52
"Zasavska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2015";54
"Zasavska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2018";54
"Posavska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";67866
"Posavska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";73200
"Posavska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";72882
"Posavska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";66676
"Posavska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";72070
"Posavska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";71756
"Posavska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";52908
"Posavska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";57791
"Posavska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";57834
"Posavska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";3333
"Posavska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";3090
"Posavska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";2826
"Posavska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";10435
"Posavska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";11189
"Posavska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";11096
"Posavska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2011";1190
"Posavska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2015";1130
"Posavska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2018";1126
"Posavska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2011";58776
"Posavska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2015";64389
"Posavska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2018";63901
"Posavska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";57948
"Posavska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";63618
"Posavska";"Lastniška stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";63142
"Posavska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";49315
"Posavska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";54282
"Posavska";"Lastniška stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";54214
"Posavska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";2452
"Posavska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";2550
"Posavska";"Lastniška stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";2318
"Posavska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";6181
"Posavska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";6786
"Posavska";"Lastniška stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";6610
"Posavska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";828
"Posavska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";771
"Posavska";"Lastniška stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";759
"Posavska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2011";3713
"Posavska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2015";4015
"Posavska";"Najeta stanovanja";"Vrsta stavbe - SKUPAJ";"2018";3935
"Posavska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2011";3497
"Posavska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2015";3793
"Posavska";"Najeta stanovanja";"1 Stanovanja v stanovanjskih stavbah";"2018";3730
"Posavska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";427
"Posavska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";511
"Posavska";"Najeta stanovanja";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";595
"Posavska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";107
"Posavska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";107
"Posavska";"Najeta stanovanja";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";74
"Posavska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";2963
"Posavska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";3175
"Posavska";"Najeta stanovanja";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";3061
"Posavska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2011";216
"Posavska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2015";222
"Posavska";"Najeta stanovanja";"2 Stanovanja v nestanovanjskih stavbah";"2018";205
"Posavska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2011";5377
"Posavska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2015";4796
"Posavska";"Stanovanja z drugimi tipi lastništva";"Vrsta stavbe - SKUPAJ";"2018";5046
"Posavska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2011";5231
"Posavska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2015";4659
"Posavska";"Stanovanja z drugimi tipi lastništva";"1 Stanovanja v stanovanjskih stavbah";"2018";4884
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";3166
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";2998
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";3025
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";774
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";433
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";434
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";1291
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";1228
"Posavska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";1425
"Posavska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2011";146
"Posavska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2015";137
"Posavska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2018";162
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";137398
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";137369
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";137026
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";135032
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";135019
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";134616
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";106936
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";107789
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";107811
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";5439
"Jugovzhodna Slovenija";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";4945
